hcp_id,display_name,speciality,country,postal_sector,active
HCP-000066,Synthetic Professional 0066,GENERAL,ZZ,ZZ006,True
HCP-000067,Synthetic Professional 0067,CARDIOLOGY,ZZ,ZZ007,True
HCP-000068,Synthetic Professional 0068,DERMATOLOGY,ZZ,ZZ008,True
HCP-000069,Synthetic Professional 0069,GENERAL,ZZ,ZZ009,True
HCP-000070,Synthetic Professional 0070,CARDIOLOGY,ZZ,ZZ010,True
HCP-000071,Synthetic Professional 0071,DERMATOLOGY,ZZ,ZZ011,True
HCP-000072,Synthetic Professional 0072,GENERAL,ZZ,ZZ012,True
HCP-000073,Synthetic Professional 0073,CARDIOLOGY,ZZ,ZZ013,True
HCP-000074,Synthetic Professional 0074,DERMATOLOGY,ZZ,ZZ014,True
HCP-000075,Synthetic Professional 0075,GENERAL,ZZ,ZZ015,True
HCP-000076,Synthetic Professional 0076,CARDIOLOGY,ZZ,ZZ016,True
HCP-000077,Synthetic Professional 0077,DERMATOLOGY,ZZ,ZZ017,True
HCP-000078,Synthetic Professional 0078,GENERAL,ZZ,ZZ018,True
HCP-000079,Synthetic Professional 0079,CARDIOLOGY,ZZ,ZZ019,True
HCP-000080,Synthetic Professional 0080,DERMATOLOGY,ZZ,ZZ000,True
HCP-000081,Synthetic Professional 0081,GENERAL,ZZ,ZZ001,True
HCP-000082,Synthetic Professional 0082,CARDIOLOGY,ZZ,ZZ002,True
HCP-000083,Synthetic Professional 0083,DERMATOLOGY,ZZ,ZZ003,True
HCP-000084,Synthetic Professional 0084,GENERAL,ZZ,ZZ004,True
HCP-000085,Synthetic Professional 0085,CARDIOLOGY,ZZ,ZZ005,True
HCP-000086,Synthetic Professional 0086,DERMATOLOGY,ZZ,ZZ006,True
HCP-000087,Synthetic Professional 0087,GENERAL,ZZ,ZZ007,True
HCP-000088,Synthetic Professional 0088,CARDIOLOGY,ZZ,ZZ008,True
HCP-000089,Synthetic Professional 0089,DERMATOLOGY,ZZ,ZZ009,True
HCP-000090,Synthetic Professional 0090,GENERAL,ZZ,ZZ010,True
HCP-000091,Synthetic Professional 0091,CARDIOLOGY,ZZ,ZZ011,True
HCP-000092,Synthetic Professional 0092,DERMATOLOGY,ZZ,ZZ012,True
HCP-000093,Synthetic Professional 0093,GENERAL,ZZ,ZZ013,True
HCP-000094,Synthetic Professional 0094,CARDIOLOGY,ZZ,ZZ014,True
HCP-000095,Synthetic Professional 0095,DERMATOLOGY,ZZ,ZZ015,True
HCP-000096,Synthetic Professional 0096,GENERAL,ZZ,ZZ016,True
HCP-000097,Synthetic Professional 0097,CARDIOLOGY,ZZ,ZZ017,False
HCP-000098,Synthetic Professional 0098,DERMATOLOGY,ZZ,ZZ018,True
HCP-000099,Synthetic Professional 0099,GENERAL,ZZ,ZZ019,True
HCP-000100,Synthetic Professional 0100,CARDIOLOGY,ZZ,ZZ000,True
